126,The International University of Scholars,IUS,Dhaka,General,Private
127,University of Creative Technology Chittagong,UCTS,Chattagram,General,Private
128,Canadian University of Bangladesh,CUB,Dhaka,General,Private
129,Anwer Khan Modern University,AKMU,Dhaka,General,Private
130,University of Global Village,UIVG,Barisal,General,Private
131,"Trust University, Barishal",TU,Barisal,General,Private
132,University of Brahmanbaria,UOB,Brahamanbaria,General,Private
133,University of Skill Enrichment and Technology,USET,Narayanganj,General,Private
134,International Standard University,ISU,Dhaka,General,Private
135,ZNRF University of Management Sciences,ZUMS,Dhaka,General,Private
136,Bandarban University,BU,Bandarban,General,Private
137,RTM Al-Kabir Technical University,RTMAKTU,Sylhet,General,Private
138,University of Science & Technology Chittagong,USTC,Chattagram,Science And Technology,Private
139,Ahsanullah University of Science and Technology,AUST,Dhaka,Science And Technology,Private
140,Pundra University of Science and Technolog,PUST,Bogra,Science And Technology,Private
141,Bangladesh University of Business and Technology,BUBT,Dhaka,Science And Technology,Private
142,Atish Dipankar University of Science and Technology,ADUST,Dhaka,Science And Technology,Private
143,ZH Sikder University of Science & Technology,ZHSUST,Shariatpur,Science And Technology,Private
144,Rajshahi Science & Technology University,RSTU,Natore,Science And Technology,Private
145,Bangladesh Army International University of Science & Technology,BAIUST,Comilla,Science And Technology,Private
146,Bangladesh Army University of Science and Technology,BAUST,Saidpur,Science And Technology,Private
147,CCN University of Science & Technology,CCNUST,Comilla,Science And Technology,Private
148,Central University of Science and Technology,CUST,Dhaka,Science And Technology,Private
149,Central Women's University,CWU,Dhaka,Special,Private
150,Shanto-Mariam University of Creative Technology,SMUCT,Dhaka,Special,Private
151,University of Liberal Arts Bangladesh,ULAB,Dhaka,Special,Private
152,Bangladesh University of Health Sciences,BUHS,Dhaka,Special,Private
153,Exim Bank Agricultural University Bangladesh,EBAUB,Chapainawabganj,Special,Private
154,Bangladesh Army University of Engineering & Technology,BAUET,Natore,Special,Private
155,Tagore University of Creative Arts,TUCA,Dhaka,Special,Private
156,Dhaka Medical College,DMC,Dhaka,Medical Collage,Public
157,Sir Salimullah Medical College,SSMC,Dhaka,Medical Collage,Public
158,Shaheed Suhrawardy Medical College,ShSMC,Dhaka,Medical Collage,Public
159,Mymensingh Medical College,MMC,Mymensingh,Medical Collage,Public
160,Chattogram Medical College,CMC,Chattogram,Medical Collage,Public
161,Rajshahi Medical College,RMC,Rajshahi,Medical Collage,Public
162,Sylhet MAG Osmani Medical College,SOMC,Sylhet,Medical Collage,Public
163,Sher-e-Bangla Medical College,SBMC,Barishal,Medical Collage,Public
164,Rangpur Medical College,RpMC,Rangpur,Medical Collage,Public
165,Cumilla Medical College,CuMC,Cumilla,Medical Collage,Public
166,Khulna Medical College,KMC,Khulna,Medical Collage,Public
167,Shaheed Ziaur Rahman Medical College,SZMC,Bogura,Medical Collage,Public
168,Bangabandhu Sheikh Mujib Medical College,BSMMC,Faridpur,Medical Collage,Public
